title,subj_terms,participant(s),reg_num,reg_date,t_type,conclusion_date,volume
Convention on the Rights of the Child,"Human rights
Civil matters
Children-Minors-Youth
","Afghanistan
Albania
Algeria
Andorra
Angola
Antigua and Barbuda
Argentina
Australia
Austria
Bahamas
Bangladesh
Barbados
Belgium
Belize
Benin
Bhutan
Bolivia
Brazil
Bulgaria
Burkina Faso
Burundi
Byelorussian Soviet Socialist Republic
Cameroon
Canada
Central African Republic
Chad
Chile
China
Colombia
Comoros
Costa Rica
Cuba
Cyprus
Czechoslovakia
Côte d'Ivoire
Democratic People's Republic of Korea
Denmark
Djibouti
Dominica
Dominican Republic
Ecuador
Egypt
El Salvador
Eritrea
Fiji
Finland
France
Gabon
Gambia
German Democratic Republic
Germany
Ghana
Greece
Grenada
Guatemala
Guinea-Bissau
Guyana
Haiti
Holy See
Honduras
Hungary
Iceland
Indonesia
Iran (Islamic Republic of)
Ireland
Israel
Italy
Jamaica
Japan
Jordan
Kazakhstan
Kenya
Kuwait
Lebanon
Lesotho
Liberia
Liechtenstein
Luxembourg
Madagascar
Maldives
Mali
Malta
Marshall Islands
Mauritania
Mexico
Mongolia
Morocco
Mozambique
Namibia
Nepal
New Zealand
Nicaragua
Niger
Nigeria
Norway
Pakistan
Panama
Papua New Guinea
Paraguay
Peru
Philippines
Poland
Portugal
Qatar
Republic of Korea
Romania
Rwanda
Samoa
Senegal
Sierra Leone
Somalia
South Africa
Spain
Sri Lanka
St. Kitts and Nevis
St. Lucia
St. Vincent and the Grenadines
Sudan
Suriname
Swaziland
Sweden
Switzerland
Syrian Arab Republic
Togo
Trinidad and Tobago
Tunisia
Turkey
Uganda
Ukraine
Union of Soviet Socialist Republics
United Kingdom of Great Britain and Northern Ireland
United Republic of Tanzania
Uruguay
Vanuatu
Venezuela
Viet Nam
Yemen Arab Republic
Yugoslavia (Socialist Federal Republic of)
Zaire
Zambia
Zimbabwe
",I-27531,02/09/1990,Open Multilateral,20/11/1989,1577
Procès-verbal of rectification of the Chinese text of the original of the International Covena...,"Human rights
",,A-14668,03/01/2002,Open Multilateral,03/01/2002,2171
Optional Protocol to the International Covenant on Civil and Political Rights,"Human rights
","Andorra
Austria
Bosnia and Herzegovina
Colombia
Costa Rica
Cyprus
Denmark
Ecuador
El Salvador
Finland
Ghana
Guinea
Guinea-Bissau
Honduras
Italy
Jamaica
Kazakhstan
Madagascar
Moldova
Netherlands
Norway
Panama
Peru
Philippines
Portugal
Sao Tome and Principe
Senegal
Sweden
The former Yugoslav Republic of Macedonia
Turkey
Uruguay
Venezuela
Yugoslavia (Federal Republic of)
",A-14668,23/03/1976,Open Multilateral,16/12/1966,999
"Procès-verbal of rectification of the Convention on the Prohibition of the Use, Stockpiling, Producti...","Disarmament
",,A-35597,07/04/2003,Open Multilateral,07/04/2003,2213
Amendments to the European Agreement concerning the Work of Crews of Vehicles Engaged in Internation...,"Labour
Europe
Roads
Transport
",,A-14533,27/02/2004,Open Multilateral,27/11/2003,2246
Amendments to Regulation No. 46.  Uniform provisions concerning the approval of devices for indirect vision a...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
Amendments to Regulation No. 46.  Uniform provisions concerning the approval of devices for indirect vision a...,"Motor vehicles
",,A-4789,10/11/2007,Open Multilateral,10/11/2007,2482
"Amendments to Regulation No. 46. Uniform provisions concerning the approval or rear-view mirrors, a...","Motor vehicles
",,A-4789,20/09/1994,Open Multilateral,20/04/1994,1823
"Amendments to Regulation No. 46. Uniform provisions concerning the approval or rear-view mirrors, a...","Motor vehicles
",,A-4789,27/08/1996,Open Multilateral,27/08/1996,1933
"Amendments to Regulation No. 46. Uniform provisions concerning the approval or rear-view mirrors, a...","Motor vehicles
",,A-4789,30/05/1988,Open Multilateral,30/05/1988,1505
Rectification of the English and French authentic texts of Regulation No. 22.  Uniform provisions ...,"Motor vehicles
",,A-4789,25/07/1983,Open Multilateral,25/07/1983,1324
Rectification of the English and French authentic texts of Regulation No. 22 annexed to the Agreeme...,"Motor vehicles
",,A-4789,11/07/1995,Open Multilateral,11/07/1995,1884
Rectification of the English and French authentic texts of Regulation No. 20.  Uniform provisions ...,"Motor vehicles
",,A-4789,10/11/1994,Open Multilateral,10/11/1994,1832
Rectification of the English and French authentic texts of Regulation No. 20.  Uniform provisions ...,"Motor vehicles
",,A-4789,10/07/1995,Open Multilateral,10/07/1995,1884
Rectification of the English and French authentic texts of Regulation No. 19.  Uniform provisions ...,"Motor vehicles
",,A-4789,10/07/1995,Open Multilateral,10/07/1995,1884
Rectification of the English and French authentic texts of paragraph 5.1.2 of Regulation No. 11.  ...,"Motor vehicles
",,A-4789,27/05/1982,Open Multilateral,27/05/1982,1276
Rectification of the English and French authentic texts of  Regulation No. 36.  Uniform provisions ...,"Motor vehicles
",,A-4789,10/07/1995,Open Multilateral,10/07/1995,1884
Rectification of the English and French authentic texts amendements au Regulation No 1. Unifo...,"Motor vehicles
",,A-4789,10/11/1994,Open Multilateral,10/11/1994,1832
Rectification of the English and French authentic texts amendements au Regulation No 1. Unifo...,"Motor vehicles
",,A-4789,10/07/1995,Open Multilateral,10/07/1995,1884
Rectification of the authentic French text of article 12 (2),"Motor vehicles
",,A-4789,29/11/1977,Open Multilateral,29/11/1977,1059
"Procès-verbal of rectification of the Convention on the Prohibition of the Use, Stockpiling, Producti...","Disarmament
",,A-35597,07/04/2003,Open Multilateral,07/04/2003,2213
Procès-verbal of rectification of the Chinese text of the original of the International Covena...,"Human rights
",,A-14668,03/01/2002,Open Multilateral,03/01/2002,2171
Procès-verbal of rectification of the Basel Convention on the Control of Transboundary Movements of Hazardo...,"Pollution
Environment
",,A-28911,29/04/2003,Open Multilateral,29/04/2003,2213
Procès-verbal of rectification of Basel Convention on the Control of Transboundary Movements of Hazardo...,"Pollution
Environment
",,A-28911,25/05/2005,Open Multilateral,25/05/2005,2319
Optional Protocol to the International Covenant on Civil and Political Rights,"Human rights
","Andorra
Austria
Bosnia and Herzegovina
Colombia
Costa Rica
Cyprus
Denmark
Ecuador
El Salvador
Finland
Ghana
Guinea
Guinea-Bissau
Honduras
Italy
Jamaica
Kazakhstan
Madagascar
Moldova
Netherlands
Norway
Panama
Peru
Philippines
Portugal
Sao Tome and Principe
Senegal
Sweden
The former Yugoslav Republic of Macedonia
Turkey
Uruguay
Venezuela
Yugoslavia (Federal Republic of)
",A-14668,23/03/1976,Open Multilateral,16/12/1966,999
Modifications to the amendements to Regulation No. 13. Uniform provisions concerning the approv...,"Motor vehicles
",,A-4789,20/03/1985,Open Multilateral,20/03/1985,1392
Modifications to Regulation No. 91.  Uniform provisions concerning the approval of side-marker lamps f...,"Motor vehicles
",,A-4789,04/03/2004,Open Multilateral,04/03/2004,2250
Modifications to Regulation No. 70.  Uniform provisions concerning the approval of rear marking plat...,"Motor vehicles
",,A-4789,13/12/2006,Open Multilateral,13/12/2006,2402
Modifications to Regulation No. 70.  Uniform provisions concerning the approval of rear marking plat...,"Motor vehicles
",,A-4789,13/12/2006,Open Multilateral,13/12/2006,2402
Modifications to Regulation No. 70.  Uniform provisions concerning the approval of rear marking plat...,"Motor vehicles
",,A-4789,13/12/2006,Open Multilateral,13/12/2006,2402
Modifications to Regulation No. 7.  Uniform provisions concerning the approval of front and rear ...,"Motor vehicles
",,A-4789,02/08/2007,Open Multilateral,02/08/2007,2465
Modifications to Regulation No. 66.  Uniform provisions concerning the approval of large passenger ...,"Motor vehicles
",,A-4789,09/05/2007,Open Multilateral,09/05/2007,2432
Modifications to Regulation No. 66.  Uniform provisions concerning the approval of large passenger ...,"Motor vehicles
",,A-4789,13/12/2006,Open Multilateral,13/12/2006,2402
Modifications to Regulation No. 6.  Uniform provisions concerning the approval of direction indicato...,"Motor vehicles
",,A-4789,04/03/2004,Open Multilateral,04/03/2004,2250
Modifications to Regulation No. 50.  Uniform provisions concerning the approval of front position lamp...,"Motor vehicles
",,A-4789,04/03/2004,Open Multilateral,04/03/2004,2250
Modifications to Regulation No. 50.  Uniform provisions concerning the approval of front position lamp...,"Motor vehicles
",,A-4789,04/03/2004,Open Multilateral,04/03/2004,2250
Modifications to Regulation No. 48.  Uniform provisions concerning the approval of vehicles with rega...,"Motor vehicles
",,A-4789,13/12/2006,Open Multilateral,13/12/2006,2402
Modifications to Regulation No. 48.  Uniform provisions concerning the approval of vehicles with rega...,"Motor vehicles
",,A-4789,13/12/2006,Open Multilateral,13/12/2006,2402
Modifications to Regulation No. 44.  Uniform provisions concerning the approval of restraining devic...,"Motor vehicles
",,A-4789,01/08/2006,Open Multilateral,01/08/2006,2384
Modifications to Regulation No. 44.  Uniform provisions concerning the approval of restraining devic...,"Motor vehicles
",,A-4789,04/03/2004,Open Multilateral,04/03/2004,2250
Modifications to Regulation No. 44.  Uniform provisions concerning the approval of restraining devic...,"Motor vehicles
",,A-4789,04/03/2004,Open Multilateral,04/03/2004,2250
Modifications to Regulation No. 43.  Uniform provisions concerning the approval of safety glazing a...,"Motor vehicles
",,A-4789,13/06/2002,Open Multilateral,13/06/2002,2185
Modifications to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps f...,"Motor vehicles
",,A-4789,02/08/2007,Open Multilateral,02/08/2007,2465
Modifications to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps f...,"Motor vehicles
",,A-4789,02/08/2007,Open Multilateral,02/08/2007,2465
Modifications to Regulation No. 37.  Uniform provisions concerning the approval of filament lamps f...,"Motor vehicles
",,A-4789,13/12/2006,Open Multilateral,13/12/2006,2402
Modifications to Regulation No. 19.  Uniform provisions concerning the approval of motor vehicle fog ...,"Motor vehicles
",,A-4789,02/08/2007,Open Multilateral,02/08/2007,2465
Modifications to Regulation No. 17.  Uniform provisions concerning the approval of vehicles with rega...,"Motor vehicles
",,A-4789,21/07/1999,Open Multilateral,14/06/1999,2073
Modifications to Regulation No. 14.  Uniform provisions concerning the approval of vehicles with rega...,"Motor vehicles
",,A-4789,13/12/2006,Open Multilateral,13/12/2006,2402
Modifications to Regulation No. 14.  Uniform provisions concerning the approval of vehicles with rega...,"Motor vehicles
",,A-4789,21/12/2005,Open Multilateral,21/12/2005,2351
Modifications to Regulation No. 14.  Uniform provisions concerning the approval of vehicles with rega...,"Motor vehicles
",,A-4789,21/12/2005,Open Multilateral,21/12/2005,2351
Modifications to Regulation No. 14.  Uniform provisions concerning the approval of vehicles with rega...,"Motor vehicles
",,A-4789,17/12/2004,Open Multilateral,17/12/2004,2293
Modifications to Regulation No. 14.  Uniform provisions concerning the approval of vehicles with rega...,"Motor vehicles
",,A-4789,17/12/2004,Open Multilateral,17/12/2004,2293
Modifications to Regulation No. 13.  Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,02/08/2007,Open Multilateral,02/08/2007,2465
Modifications to Regulation No. 13.  Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,07/04/2006,Open Multilateral,07/04/2006,2367
Modifications to Regulation No. 13.  Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,13/06/2002,Open Multilateral,13/06/2002,2185
Modifications to Regulation No. 122.  Uniform technical prescriptions concerning the approval of vehicl...,"Motor vehicles
",,A-4789,13/12/2006,Open Multilateral,13/12/2006,2402
Modifications to Regulation No. 121.  Uniform provisions concerning the approval of vehicles with rega...,"Motor vehicles
",,A-4789,13/12/2006,Open Multilateral,13/12/2006,2402
Modifications to Regulation No. 121.  Uniform provisions concerning the approval of vehicles with rega...,"Motor vehicles
",,A-4789,07/04/2006,Open Multilateral,07/04/2006,2367
Modifications to Regulation No. 120. Uniform provisions concerning the approval of internal combusti...,"Motor vehicles
",,A-4789,02/08/2007,Open Multilateral,02/08/2007,2465
Modifications to Regulation No. 117.  Uniform provisions concerning the approval of tyres with regard ...,"Motor vehicles
",,A-4789,09/05/2007,Open Multilateral,09/05/2007,2432
Modifications to Regulation No. 117.  Uniform provisions concerning the approval of tyres with regard ...,"Motor vehicles
",,A-4789,01/08/2006,Open Multilateral,01/08/2006,2384
Modifications to Regulation  No. 49.  Uniform provisions concerning the approval of compression igniti...,"Motor vehicles
",,A-4789,12/05/1999,Open Multilateral,14/04/1999,2065
Modifications to Regulation  No. 49.  Uniform provisions concerning the approval of compression igniti...,"Motor vehicles
",,A-4789,12/05/1999,Open Multilateral,14/04/1999,2065
Modifications of the English and French texts of Regulation No. 79.   Uniform provisions concerning the approv...,"Motor vehicles
",,A-4789,30/10/1995,Open Multilateral,30/10/1995,1893
Modifications of the English and French texts of Regulation No. 48.  Uniform provisions concerning the approv...,"Motor vehicles
",,A-4789,30/10/1995,Open Multilateral,30/10/1995,1893
Modifications of the English and French texts of Regulation No. 45.  Uniform provisions concerning the approv...,"Motor vehicles
",,A-4789,30/10/1995,Open Multilateral,30/10/1995,1893
Modifications of the English and French texts of Regulation No. 40.  Uniform provisions concerning the approv...,"Motor vehicles
",,A-4789,19/08/1996,Open Multilateral,19/08/1996,1931
Modifications of the English and French texts of Regulation No. 100.  Uniform provisions concerning the approv...,"Motor vehicles
",,A-4789,29/01/1997,Open Multilateral,29/01/1997,1963
Modifications of the English and French texts of Regulation  No. 49.  Uniform provisions concerning the approv...,"Motor vehicles
",,A-4789,30/10/1995,Open Multilateral,30/10/1995,1893
Modifications au Regulation No. 13.  Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,13/06/2002,Open Multilateral,13/06/2002,2185
Modification of the English and French texts of Regulation No. 96.  Uniform provisions concerning the approv...,"Motor vehicles
",,A-4789,30/10/1995,Open Multilateral,30/10/1995,1893
